col,thresh,full,average,final
contact_pred_rolling_19,0.4666666666666667,0.7330156915983382,0.5985223678226198,0.7734595956820549
contact_pred_rolling_67,0.5666666666666667,0.7645894046202519,0.6126271125204398,0.7727601987945902
contact_pred_rolling_17,0.5,0.7328294083043991,0.6145914224693124,0.7726217017430516
contact_pred_rolling_68,0.5666666666666667,0.7641156750438335,0.6115141629707606,0.7723686483192178
contact_pred_rolling_71,0.5666666666666667,0.7605694333722187,0.6098753978268104,0.772324709534371
contact_pred_rolling_70,0.5666666666666667,0.7623943893990694,0.6099269419811925,0.7723108692680767
contact_pred_rolling_15,0.5,0.730910692066753,0.6160889791662598,0.7722207258317336
contact_pred_rolling_16,0.4666666666666667,0.7303491835530009,0.6000296412207972,0.7722190952421376
contact_pred_rolling_24,0.43333333333333335,0.7358041862779081,0.5798068429262211,0.7720664866934549
contact_pred_rolling_15,0.4666666666666667,0.7287639500887895,0.6004648650817576,0.7719480431248987
contact_pred_rolling_72,0.5666666666666667,0.7609129862944697,0.6075912033536004,0.7713949398060298
contact_pred_rolling_73,0.5666666666666667,0.758745856897591,0.6069556020775679,0.7707561056766561
contact_pred_rolling_24,0.5333333333333333,0.7442458626044137,0.6260013412350308,0.7706423458401596
contact_pred_rolling_74,0.5666666666666667,0.7597233371154158,0.6056432242739607,0.7702458958368381
contact_pred_rolling_22,0.5333333333333333,0.7431092768742859,0.6266277188133088,0.7701581510266848
contact_pred_rolling_23,0.5333333333333333,0.7426512377308891,0.6262699133875868,0.7698847598777315
contact_pred_rolling_21,0.43333333333333335,0.7312636189949014,0.5816984382824292,0.769378247964033
contact_pred_rolling_69,0.5666666666666667,0.7622279858705507,0.6116033690898325,0.7693458343335593
contact_pred_rolling_20,0.5333333333333333,0.7412210190887419,0.6257143512445719,0.7688201536366581
contact_pred_rolling_19,0.5333333333333333,0.7390478721012794,0.6266730750293897,0.7687218992584021
contact_pred_rolling_21,0.5333333333333333,0.7411057633605563,0.6262550646867011,0.7684101033017462
contact_pred_rolling_20,0.43333333333333335,0.7311511093407518,0.5825077953330245,0.7683637140575978
contact_pred_rolling_22,0.43333333333333335,0.7336278980026678,0.5806450801927832,0.7683125836339845
contact_pred_rolling_23,0.43333333333333335,0.7328832260217926,0.5801474954028626,0.768205100667722
contact_pred_rolling_18,0.5333333333333333,0.7386648568828628,0.6271463043163635,0.767446270833922
contact_pred_rolling_19,0.43333333333333335,0.7289526698964753,0.5827833153893405,0.767033109315434
contact_pred_rolling_17,0.5333333333333333,0.7356140235473714,0.6270998407025878,0.7669047561897743
contact_pred_rolling_16,0.5333333333333333,0.7353944486016524,0.6285742555947437,0.7667388750257191
